original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G0100410,722267,Troy_Af,44.913795,-88.641293,44.48,-88.13,29.73231712133253
G0100430,723230,Huntsville_Intl_Jones_Field,44.913795,-88.641293,44.48,-88.13,54.448277940925216
G0100450,722269,Cairns_Field_Fort_Rucker,44.913795,-88.641293,44.48,-88.13,14.659706101699536
G0100470,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,60.87677284326479
G0100490,722285,Gadsen_Muni_Awos,44.913795,-88.641293,44.48,-88.13,59.125539289078404
G0100510,722265,Maxwell_Afb,44.913795,-88.641293,44.48,-88.13,23.14052339997106
G0100530,722267,Troy_Af,44.913795,-88.641293,44.48,-88.13,147.93039987742625
G0100550,722285,Gadsen_Muni_Awos,44.913795,-88.641293,44.48,-88.13,6.998608942739318
G0100570,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,58.03091825991504
G0100590,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,36.758336328128834
G0100610,722269,Cairns_Field_Fort_Rucker,44.913795,-88.641293,44.48,-88.13,20.616262372057463
G0100630,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,51.77518888442363
G0100650,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,49.41110671349124
G0100670,722268,Dothan_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,31.606094505788217
G0100690,722268,Dothan_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,4.649833829566248
G0100710,722285,Gadsen_Muni_Awos,44.913795,-88.641293,44.48,-88.13,85.74285879125404
G0100730,722280,Birmingham_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,8.28543599746291
G0100750,723306,Columbus_Afb,44.913795,-88.641293,44.48,-88.13,33.89907846699445
G0100770,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,12.947306016693934
G0100790,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,37.75174411448655
G0100810,722284,Auburn_Opelika_Apt,44.913795,-88.641293,44.48,-88.13,8.648378538594267
G0100830,723230,Huntsville_Intl_Jones_Field,44.913795,-88.641293,44.48,-88.13,23.462822882529377
G0100850,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,25.64334682910704
G0100870,722284,Auburn_Opelika_Apt,44.913795,-88.641293,44.48,-88.13,34.37104635318723
G0100890,723230,Huntsville_Intl_Jones_Field,44.913795,-88.641293,44.48,-88.13,18.6424116316794
G0100910,722345,Meridian_Naas,44.913795,-88.641293,44.48,-88.13,75.8840476238823
G0100930,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,75.31570488530717
G0100950,722285,Gadsen_Muni_Awos,44.913795,-88.641293,44.48,-88.13,42.80630771634685
G0100970,722230,Mobile_Regional_Ap,44.913795,-88.641293,44.48,-88.13,7.6047707579962545
G0100990,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,126.64919820965268
G0101010,722265,Maxwell_Afb,44.913795,-88.641293,44.48,-88.13,10.66382618804285
G0101030,723230,Huntsville_Intl_Jones_Field,44.913795,-88.641293,44.48,-88.13,20.46092234507555
G0101050,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,74.8280776503736
G0101070,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,42.31348662498011
G0101090,722267,Troy_Af,44.913795,-88.641293,44.48,-88.13,11.407601293093181
