occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0756,0.0756,0,0,0,0,0.319,0.504,0.504,0,0,0.0563
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.266,0.266,0,0,0,0,0.367,0.635,0.635,0,0,0.4
0.5,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0.197
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0791
0.25,0.149,0.149,0,0,0,0,0.291,0.56,0.56,0,0,0
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0
0.5,0.254,0.254,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.276,0.276,0.133,0,0,0,0.402,0.682,0.682,0,0,0.0395
0.5,0.338,0.338,0.117,0,0,0,0.499,0.72,0.72,0,0,0.405
0.75,0.634,0.634,0,0,0,0,0.725,0.861,0.861,0,0,0.38
0.75,0.763,0.763,0,0,0,0,0.767,0.819,0.819,0,0,0.369
0.75,0.755,0.755,0,0,0,0,0.809,0.777,0.777,0,0,0.274
0.5,0.429,0.429,0.133,0,0,0,0.611,0.654,0.654,0,0,0.0791
0.75,0.381,0.381,0.383,0,0,0,0.683,0.678,0.678,0,0,0.198
1,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.158
1,0.0688,0.0688,0,0,0,0,0.333,0.513,0.513,0,0,0.0395
1,0.0563,0.0563,0,0,0,0,0.323,0.504,0.504,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.127,0.127,0,0,0,0,0.344,0.522,0.522,0,0,0.181
1,0.151,0.151,0,0,0,0,0.358,0.546,0.546,0,0,0.107
0.75,0.158,0.158,0,0,0,0,0.312,0.55,0.55,0,0,0.216
0.75,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0.154
0.5,0.266,0.266,0,0,0,0,0.297,0.635,0.635,0,0,0.0791
0.25,0.153,0.153,0,0,0,0,0.281,0.555,0.555,0,0.192,0
0,0.05,0.05,0,0,0.717,0.333,0.258,0.465,0.465,0,0.733,0.119
0.25,0.149,0.149,0,0,0,1,0.291,0.56,0.56,0,0.229,0.198
0.25,0.149,0.149,0,0,0,1,0.302,0.555,0.555,0,0.736,0
0.25,0.152,0.152,0.25,0,0,0.383,0.305,0.564,0.564,0,0,0
0.25,0.163,0.163,0,0,0,0,0.33,0.574,0.574,0,0,0.119
0.5,0.338,0.338,0,0,0,0,0.499,0.72,0.72,0,0,0.158
0.5,0.439,0.439,0,0,0,0,0.569,0.729,0.729,0,0,0.0395
0.5,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0,0.0214
0.5,0.52,0.52,0,0,0,0,0.625,0.673,0.673,0,0,0.179
0.75,0.619,0.619,0,0,0,0,0.788,0.749,0.749,0,0,0.263
1,0.271,0.271,0,0,0,0,0.541,0.607,0.607,0,0,0.407
1,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.237
1,0.0688,0.0688,0,0,0,0,0.333,0.513,0.513,0,0,0
1,0.0563,0.0563,0,0,0,0,0.323,0.504,0.504,0,0,0
1,0.05,0.05,0,0,0,0,0.323,0.499,0.499,0,0,0
1,0.05,0.05,0,0,0,0,0.319,0.494,0.494,0,0,0.119
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0224
1,0.101,0.101,0.25,0,0,0,0.381,0.542,0.542,0,0,0.375
1,0.281,0.281,0,0,0,0,0.515,0.636,0.636,0,0,0.209
0.75,0.352,0.352,0,0,0,0,0.557,0.706,0.706,0,0,0.148
0.75,0.374,0.374,0,0,0,0,0.421,0.72,0.72,0,0,0.0817
0.5,0.273,0.273,0,0,0.5,0,0.29,0.635,0.635,0,0.751,0.0395
0.5,0.266,0.266,0,0,0.217,0.833,0.297,0.635,0.635,0,0.288,0.198
0.5,0.257,0.257,0,0,0,0.517,0.304,0.645,0.645,0,0.467,0
0.5,0.15,0.15,0,0,0,0,0.277,0.56,0.56,0,0.402,0
0.5,0.248,0.248,0,0,0,0,0.325,0.654,0.654,0,0.894,0.0395
0.75,0.347,0.347,0,0,0,0,0.39,0.735,0.735,0,0.303,0.158
0.5,0.254,0.254,0,0,0,0,0.353,0.664,0.664,0,0.513,0.316
